landscape_id;landscape;year;age_enclos;habitat;site_id;season;season_site_id;bird_rich;dec_long;dec_lat;tot_strata;plant_rich_tot;Shannon_vertical;herb_cov;herb_height;max.NDVI.50;max.NDVI.500;nb_houses;diff.max.NDVI.500
39C_10;39C;2010;13;open;39C_10_open;post rainy;post rainy_39C_10_open;21;-1.25779;12.660413;25;3;0.747435909;40;10;0.322;0.452;84;0.274
39C_10;39C;2010;13;woody;39C_10_woody;post rainy;post rainy_39C_10_woody;22;-1.260039;12.659986;10;5;0.801818553;60;40;0.411;0.452;84;0.274
40C_09;40C;2009;14;enclos;40C_09_enclos;post rainy;post rainy_40C_09_enclos;20;-1.264072;12.689024;17;11;1.319729922;40;50;0.567;0.405;27;0.224
40C_09;40C;2009;14;open;40C_09_open;post rainy;post rainy_40C_09_open;21;-1.263481;12.691536;10;4;0.500402424;50;60;0.391;0.405;27;0.224
40C_09;40C;2009;14;woody;40C_09_woody;post rainy;post rainy_40C_09_woody;18;-1.265937;12.691485;26;5;1.240947913;10;20;0.51;0.405;27;0.224
45C_09;45C;2009;14;enclos;45C_09_enclos;post rainy;post rainy_45C_09_enclos;26;-1.710005;12.505855;36;15;1.320358739;90;100;0.639;0.541;7;0.318
45C_09;45C;2009;14;open;45C_09_open;post rainy;post rainy_45C_09_open;26;-1.7099;12.502772;15;6;0.579915171;30;30;0.476;0.541;7;0.318
45C_09;45C;2009;14;woody;45C_09_woody;post rainy;post rainy_45C_09_woody;26;-1.711557;12.508326;35;11;1.301412686;90;40;0.611;0.541;7;0.318
51C_10;51C;2010;13;enclos;51C_10_enclos;post rainy;post rainy_51C_10_enclos;18;-1.278624;12.672486;32;9;1.279405916;50;30;0.695;0.384;12;0.19
51C_10;51C;2010;13;open;51C_10_open;post rainy;post rainy_51C_10_open;26;-1.276226;12.671048;6;2;0.450561209;20;10;0.357;0.384;12;0.19
51C_10;51C;2010;13;woody;51C_10_woody;post rainy;post rainy_51C_10_woody;26;-1.276329;12.672831;13;6;1.220282166;10;5;0.424;0.384;12;0.19
52C_10;52C;2010;13;enclos;52C_10_enclos;post rainy;post rainy_52C_10_enclos;24;-1.257614;12.678515;30;9;1.133869278;20;30;0.698;0.432;22;0.235
52C_10;52C;2010;13;open;52C_10_open;post rainy;post rainy_52C_10_open;22;-1.256282;12.674892;16;3;0.376770161;30;10;0.36;0.432;22;0.235
52C_10;52C;2010;13;woody;52C_10_woody;post rainy;post rainy_52C_10_woody;17;-1.258412;12.676267;19;9;1.314775738;40;20;0.553;0.432;22;0.235
